Link: https://www.youtube.com/watch?v=DqqggJWZXsg,,,,,
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments,,
335065,140790,32945,161330,,
,,,,,
Source,Followers,Date,Interactions,Post Type,Link
IRISH IN LONDON,37471,Thu May 07 2020 05:54:29 GMT+0000,18,Facebook,https://www.facebook.com/groups/534686936631703/permalink/2467294100037634
You know you're from Pilot Rock  OR when...,1173,Wed May 06 2020 16:10:36 GMT+0000,17,Facebook,https://www.facebook.com/groups/229548677082621/permalink/2869524516418344
Người Việt Houston,37761,Wed May 06 2020 16:04:56 GMT+0000,15,Facebook,https://www.facebook.com/groups/607370389338101/permalink/3776291909112584
Bisbee People,3566,Thu May 07 2020 01:34:41 GMT+0000,14,Facebook,https://www.facebook.com/groups/136637013134485/permalink/1907992275998941
Friends Who Like Rush Limbaugh,3975,Wed May 06 2020 23:11:36 GMT+0000,12,Facebook,https://www.facebook.com/groups/192438634563478/permalink/868471850293483
Ogallala News & Events (O.N.E),4347,Wed May 06 2020 16:57:31 GMT+0000,11,Facebook,https://www.facebook.com/groups/360628457620538/permalink/1174435616239814
Reopen Springfield Missouri,255,Wed May 06 2020 14:55:52 GMT+0000,11,Facebook,https://www.facebook.com/groups/2771606992938642/permalink/2819374084828599
You might be from Golden if??,4399,Thu May 07 2020 05:54:34 GMT+0000,10,Facebook,https://www.facebook.com/groups/147362308679083/permalink/2959240154157937
Trump Snake Oil Salesman Group Page,8836,Wed May 06 2020 18:13:43 GMT+0000,10,Facebook,https://www.facebook.com/groups/539040780032826/permalink/613301935940043
Drain The Swamp,73304,Wed May 06 2020 17:24:00 GMT+0000,9,Facebook,https://www.facebook.com/groups/560846380772836/permalink/1454923628031769
The Great Awakening,16880,Thu May 07 2020 05:16:44 GMT+0000,7,Facebook,https://www.facebook.com/groups/247586596087103/permalink/663432101169215
Poder Latino,1273,Wed May 06 2020 23:37:50 GMT+0000,7,Facebook,https://www.facebook.com/groups/448959909063800/permalink/571121553514301
Suveran VS  Ființă Vie Născut Viu,2799,Thu May 07 2020 06:51:07 GMT+0000,6,Facebook,https://www.facebook.com/groups/104519053402596/permalink/847870235734137
The Politics of Joe,91,Wed May 06 2020 17:50:20 GMT+0000,6,Facebook,https://www.facebook.com/groups/230029303781709/permalink/2819823924802221
#ReOpenCT,783,Thu May 07 2020 00:32:02 GMT+0000,5,Facebook,https://www.facebook.com/groups/1367784460074403/permalink/1386013644918151
ReOpen Utah,38,Wed May 06 2020 14:51:56 GMT+0000,5,Facebook,https://www.facebook.com/groups/258974605499801/permalink/277274550336473
Oprah Winfrey,23406,Wed May 06 2020 18:13:55 GMT+0000,5,Facebook,https://www.facebook.com/groups/58819640960/permalink/10158886658835961
The Great Awakening,16625,Wed May 06 2020 14:54:41 GMT+0000,5,Facebook,https://www.facebook.com/groups/247586596087103/permalink/662992181213207
Pissed off Deplorables,1515,Thu May 07 2020 00:32:16 GMT+0000,3,Facebook,https://www.facebook.com/groups/164682444240169/permalink/545655259476217
Donald Trump For President 2020!!!!!!,178230,Thu May 07 2020 00:32:16 GMT+0000,2,Facebook,https://www.facebook.com/groups/1192684914091423/permalink/3876664302360124
FOX NEWS with Tucker Carlson,25243,Wed May 06 2020 22:05:50 GMT+0000,2,Facebook,https://www.facebook.com/groups/1250734815048111/permalink/3018027311652177
TRUMP 2020-2024-2028,517,Wed May 06 2020 19:16:28 GMT+0000,2,Facebook,https://www.facebook.com/groups/2639685082978320/permalink/2677533469193481
Người Việt Austin - Austin Vietnamese Community,1671,Wed May 06 2020 14:41:53 GMT+0000,1,Facebook,https://www.facebook.com/groups/276578659507287/permalink/837467416751739
Reopen America,3609,Thu May 07 2020 05:54:19 GMT+0000,0,Facebook,https://www.facebook.com/groups/1316429998745464/permalink/1339937076394756
COVID 19 Conspiracy Theories,869,Wed May 06 2020 19:41:26 GMT+0000,0,Facebook,https://www.facebook.com/groups/274722553595624/permalink/327227388345140
Room 21 Worldwide ☠,13122,Wed May 06 2020 15:25:00 GMT+0000,0,Facebook,https://www.facebook.com/groups/2052236378324794/permalink/2793645280850563
Three Percenters (III%ers) for Constitutional Troops and Law Enforcement,12711,Wed May 06 2020 19:16:36 GMT+0000,0,Facebook,https://www.facebook.com/groups/157113214462575/permalink/1539577856216097
Q ANON QUÉBEC,7154,Wed May 06 2020 16:46:53 GMT+0000,0,Facebook,https://www.facebook.com/groups/121991461263368/permalink/2726295420832946
Collective Action Against Bill Gates. We Wont Be Vaccinated!!,26113,Wed May 06 2020 14:54:33 GMT+0000,0,Facebook,https://www.facebook.com/groups/698141807656499/permalink/716186602518686
Winona COVID-19 community hub,6145,Wed May 06 2020 19:20:37 GMT+0000,0,Facebook,https://www.facebook.com/groups/196684418275931/permalink/231238788153827
