Link: https://www.youtube.com/watch?v=IsuCa6V7prg&app=desktop,,,,,
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments,,
94,19,43,32,,
,,,,,
Source,Followers,Date,Interactions,Post Type,Link
Donald Trump For President 2020!!!!!!,178241,Thu May 07 2020 04:20:20 GMT+0000,1,Facebook,https://www.facebook.com/groups/1192684914091423/permalink/3877072585652629
Three Percenters - We The People,5042,Wed May 06 2020 23:25:53 GMT+0000,1,Facebook,https://www.facebook.com/groups/1402106129952823/permalink/1563016043861830
Q NEWS - HILLARY CLINTON TREASON LIST             THE RALPH COONS - PAGE,1537,Wed May 06 2020 23:23:00 GMT+0000,1,Facebook,https://www.facebook.com/groups/170354720497504/permalink/591990255000613
WOMEN for TRUMP FLORIDA,1238,Wed May 06 2020 23:12:50 GMT+0000,1,Facebook,https://www.facebook.com/groups/478993662908592/permalink/708427336631889
Ted Cruz - Florida Sun-Coast Supporters,354,Wed May 06 2020 23:25:59 GMT+0000,1,Facebook,https://www.facebook.com/groups/239875426352925/permalink/1200898086917316
Bexar County Republican Dialogue,354,Thu May 07 2020 02:35:56 GMT+0000,0,Facebook,https://www.facebook.com/groups/1901558476770903/permalink/2565076677085743
Bexar County Republican Dialogue,354,Thu May 07 2020 02:28:35 GMT+0000,0,Facebook,https://www.facebook.com/groups/1901558476770903/permalink/2565071137086297
CULT 45 DEPLORABLE AMERICANS FOR TRUMP,11906,Thu May 07 2020 06:49:51 GMT+0000,0,Facebook,https://www.facebook.com/groups/446770035794364/permalink/923791511425545
Trump's  FB Warriors,14229,Thu May 07 2020 02:36:05 GMT+0000,0,Facebook,https://www.facebook.com/groups/1065897750162485/permalink/2885399024879006
STOP Phil Murphy - NJ Residents It's Time To Take Our State Back,2149,Wed May 06 2020 00:47:11 GMT+0000,0,Facebook,https://www.facebook.com/groups/2237805889765397/permalink/2582137098665606
X22 Report [Geopolitical],52137,Wed May 06 2020 05:33:48 GMT+0000,0,Facebook,https://www.facebook.com/groups/760575171007507/permalink/1023103498088005
TRUMPS vision  and OBSTRUCTIONIST,817,Wed May 06 2020 23:26:06 GMT+0000,0,Facebook,https://www.facebook.com/groups/1398099780269685/permalink/3126529157426730
DEMISIA IOHANNIS,34377,Wed May 06 2020 22:40:34 GMT+0000,0,Facebook,https://www.facebook.com/groups/1442319162487453/permalink/3224799894239362
Jesse Watters Fans,2719,Wed May 06 2020 23:12:47 GMT+0000,0,Facebook,https://www.facebook.com/groups/1932954453633257/permalink/2547183548877008
The Trump solution {God  Country, and It's people},566,Wed May 06 2020 23:23:11 GMT+0000,0,https://www.facebook.com/groups/289284988240707/permalink/866449113857622
Taking Our America Back!,7316,Wed May 06 2020 00:49:31 GMT+0000,0,Facebook,https://www.facebook.com/groups/2086845748063261/permalink/2903267186421109
Fox & Friends Fan Club,3903,Wed May 06 2020 23:12:35 GMT+0000,0,Facebook,https://www.facebook.com/groups/131239810884402/permalink/528729827802063
Random Thoughts,1551,Wed May 06 2020 23:25:25 GMT+0000,0,Facebook,https://www.facebook.com/groups/727772294302974/permalink/885509568529245
